id,titulo,categoria,fecha_inicio,fecha_fin,objetivo,recompensas
KS008,Mouse Ergonómico Vertical,Tecnología,2022-03-28,2022-05-20,50000.0,35:190:Early Bird;49:210:Estándar;69:85:Edición Gaming
CF083,Acuarelas Profesionales,Arte,2023-04-13,2023-06-08,150000.0,Set 12 Colores@35@160|Set 24@65@110|Set 48 + Accesorios@129@50
KS086,Curso Online de Pintura al Óleo,Arte,2023-03-11,2023-04-21,150000.0,59:120:Básico;99:85:Avanzado;179:40:Masterclass
CF051,Salsa Picante Artesanal Pack 3,Comida,2024-05-11,2024-06-25,150000.0,Suave@25@210|Medio@25@260|Extremo@30@140
KS036,Poster Set Edición Limitada,Cómic,2023-01-12,2023-02-20,15000.0,25:170:5 Posters;45:95:10 Posters;75:40:Con Firma
CF029,EP: Canciones de Medianoche,Música,2023-04-02,2023-05-14,10000.0,Digital@8@380|CD@15@140|Vinilo 12''@35@70
CF011,Juego de Mesa: Reinos Olvidados,Juegos,2022-03-17,2022-05-02,10000.0,Edición Básica@39@250|Deluxe@69@180|Coleccionista@119@95
KS056,Kit de Especias del Mundo,Comida,2021-09-20,2021-11-14,15000.0,35:160:Asia;35:140:Mediterráneo;89:70:Colección Completa
KS052,Café de Especialidad Suscripción,Comida,2021-02-09,2021-03-13,75000.0,45:140:3 Meses;85:95:6 Meses;159:60:12 Meses
CF085,Marcadores Alcohol Base,Arte,2021-12-04,2022-01-22,5000.0,Set 24@49@140|Set 60@99@95|Set 120 Colores@189@45
KS022,Pedal de Guitarra Analógico,Música,2023-01-29,2023-03-17,25000.0,89:85:Early Bird;119:120:Estándar;159:45:Edición Firmada
CF001,Smartwatch Fitness Pro,Tecnología,2024-08-02,2024-09-03,5000.0,Edición Early Bird@89@150|Edición Estándar@129@320|Edición Premium@189@95
CF003,Cargador Solar Portátil,Tecnología,2021-10-13,2021-11-13,10000.0,Básico@35@180|Doble Puerto@49@240|Kit Completo@69@110
KS072,Documental: Tras las Cámaras,Cine,2024-09-11,2024-11-02,75000.0,15:280:Digital;25:150:DVD;55:70:Edición Coleccionista
KS090,Kit de Dibujo Profesional,Arte,2022-10-05,2022-11-02,5000.0,39:160:Básico;79:95:Intermedio;149:50:Completo + Curso
CF061,Trípode de Carbono Profesional,Fotografía,2023-11-26,2024-01-18,10000.0,Básico@119@85|Con Rótula@179@110|Kit Completo@249@55
KS006,Hub USB-C 10 en 1,Tecnología,2022-04-22,2022-06-18,5000.0,39:220:Early Bird;69:95:Pack Doble;199:45:Empresarial
KS004,Teclado Mecánico RGB,Tecnología,2024-04-24,2024-06-15,5000.0,89:95:60%;119:160:TKL;149:85:Full Size
KS060,Mermelada Gourmet Sin Azúcar,Comida,2024-10-07,2024-11-24,150000.0,22:210:Pack 3;40:150:Pack 6;75:70:Pack 12
KS096,Mockups Profesionales,Diseño,2024-06-22,2024-07-22,100000.0,35:170:Pack 20;69:120:Pack 50;159:50:Subscription Anual
KS084,Caballete de Estudio,Arte,2022-03-14,2022-05-03,5000.0,69:95:Mesa Compacto;119:75:Estudio H;199:40:Profesional Ajustable
CF033,Artbook: Concept Art Espacial,Cómic,2022-06-27,2022-07-30,25000.0,Digital@20@180|Impreso@45@110|Edición Limitada@89@50
CF087,Espátulas para Pintura,Arte,2022-08-08,2022-09-29,150000.0,Set 5@20@180|Set 10@35@130|Set Profesional 20@69@60
CF055,Aceite de Oliva Virgen Extra,Comida,2023-09-23,2023-10-22,15000.0,500ml@18@220|Pack 3x500ml@49@140|Lata 5L@89@55
KS100,Kit Branding Completo,Diseño,2021-09-26,2021-11-09,150000.0,69:110:Startup;149:75:Empresa;299:35:Agencia
KS064,Flash Externo TTL,Fotografía,2024-04-20,2024-05-29,5000.0,89:95:Básico;139:75:Con Trigger;249:40:Kit 2 Flashes
CF091,Templates Web Modernos Pack,Diseño,2024-04-11,2024-06-05,15000.0,10 Templates@49@140|25 Templates@99@95|Ilimitados 1 Año@199@50
KS044,Gafas de Sol Polarizadas,Moda,2024-08-05,2024-09-20,10000.0,39:200:Básicas;69:120:Premium;99:55:Personalizadas
CF027,Cable de Instrumento Premium,Música,2024-11-03,2024-12-18,5000.0,3 metros@20@180|Pack 3 Unidades@49@95|Set Profesional@89@45
KS082,Lienzo Pre-estirado Premium,Arte,2021-07-11,2021-08-20,15000.0,45:130:Pack 5 Medianos;79:85:Pack 5 Grandes;139:50:Pack 10 Mixto
CF035,Manga: Viaje al Este,Cómic,2024-04-12,2024-06-03,100000.0,Vol.1@12@220|Pack 3 Vols@30@150|Colección Completa@89@60
KS020,Juego de Cartas Party Game,Juegos,2023-02-18,2023-04-01,150000.0,20:240:Básico;15:180:Expansión 1;50:95:Bundle Completo
KS094,Texturas 4K para Diseño,Diseño,2024-10-14,2024-11-23,100000.0,29:180:Pack 50;69:110:Pack 200;149:50:Pack 1000
CF015,Cartas Coleccionables: Época Cyberpunk,Juegos,2023-02-15,2023-03-17,50000.0,Starter Deck@15@280|Booster Box@59@160|Elite Box@99@85
KS088,Papel Acuarela 100% Algodón,Arte,2021-11-14,2021-12-21,50000.0,25:170:Block A4;45:110:Block A3;99:45:Rollo 10m
KS018,Accesorios para Wargames,Juegos,2024-09-16,2024-10-25,50000.0,29:130:Terreno Básico;79:85:Set Completo;149:40:Mega Pack
KS014,Tapete de Juego XL,Juegos,2021-03-30,2021-05-23,10000.0,29:180:Estándar;49:120:Deluxe Cosido;79:55:Personalizado
KS078,Software de Edición de Video,Cine,2023-05-15,2023-06-20,50000.0,99:95:Licencia 1 Año;199:65:Licencia Perpetua;299:35:Bundle Plugins
CF071,Cortometraje: Último Tren,Cine,2022-01-25,2022-02-25,10000.0,Streaming@5@420|Download HD@12@210|Blu-ray Firmado@35@85
CF099,Stock Photos Alta Resolución,Diseño,2022-05-04,2022-06-14,100000.0,100 Fotos@39@150|500 Fotos@99@95|Suscripción Anual@249@45
KS068,Kit de Iluminación LED,Fotografía,2022-07-25,2022-09-19,25000.0,119:95:2 Luces;189:70:3 Luces;349:40:Estudio Completo
CF039,Cómic Digital Interactivo,Cómic,2024-07-09,2024-08-13,100000.0,Episodio 1@5@350|Temporada Completa@25@180|Acceso Vitalicio@50@70
KS070,Limpiador de Sensor Pro,Fotografía,2022-05-13,2022-07-07,100000.0,25:170:Kit Básico;49:120:Kit Completo;79:55:Con Loupe
CF057,Miel Artesanal Multifloral,Comida,2022-06-27,2022-08-24,100000.0,250g@15@240|500g@28@180|Pack 3x500g@75@85
CF021,Álbum: Ecos del Tiempo,Música,2024-07-25,2024-09-11,15000.0,Digital@10@450|CD Firmado@25@180|Vinilo Edición Limitada@45@95
CF037,Webcomic en Físico: Año 1,Cómic,2023-11-10,2024-01-05,10000.0,Blanco y Negro@20@190|Color@35@130|Deluxe@55@65
KS048,Bolso Convertible 3 en 1,Moda,2024-07-04,2024-08-17,25000.0,69:140:Negro;69:95:Marrón;119:50:Pack 2 Colores
KS032,Serie: Guardianes del Tiempo Vol.1,Cómic,2024-08-09,2024-10-02,15000.0,8:320:Digital;15:210:Físico;35:75:Firmado
CF009,Adaptador HDMI Inalámbrico,Tecnología,2021-01-14,2021-02-18,100000.0,Básico@59@120|Pro@89@95|Enterprise@149@40
CF045,Cartera RFID Minimalista,Moda,2022-08-25,2022-10-16,15000.0,Aluminio@29@220|Cuero@49@150|Fibra de Carbono@79@65
CF017,Juego de Rol: Aventuras Espaciales,Juegos,2024-12-13,2025-01-11,5000.0,PDF@15@220|Libro Físico@45@150|Edición Deluxe@89@65
KS034,Cómic: Origen del Héroe,Cómic,2024-02-24,2024-04-23,50000.0,10:250:Básico;18:140:Variante;45:80:Pack Completo
CF065,Curso Online de Fotografía,Fotografía,2021-05-26,2021-06-23,25000.0,Básico@49@180|Avanzado@99@110|Masterclass@199@55
KS028,Atril Portátil Reforzado,Música,2022-04-15,2022-05-12,75000.0,29:160:Estándar;49:85:Con Luz LED;75:50:Profesional
CF069,Tarjetas SD de Alta Velocidad,Fotografía,2024-01-10,2024-02-12,150000.0,64GB@29@200|128GB@49@150|Pack 3x128GB@129@65
KS098,Brushes para Photoshop,Diseño,2022-06-19,2022-07-27,75000.0,20:200:Pack 50;45:140:Pack 200;99:60:Pack 1000
CF013,Dados Metálicos Artesanales,Juegos,2023-01-06,2023-02-22,50000.0,Set Básico@25@200|Set Premium@45@150|Colección Completa@89@70
CF073,Serie Web: Ciudad Nocturna,Cine,2023-05-18,2023-07-08,150000.0,Temporada 1@20@240|Acceso Completo@45@140|Con Making Of@75@60
KS080,Soundtrack Original Vinilo,Cine,2023-06-27,2023-08-26,10000.0,35:140:Negro;49:85:Color Transparente;69:45:Picture Disc
CF059,Té Premium Colección,Comida,2024-12-31,2025-02-13,100000.0,Pack 5 Sabores@32@170|Pack 10@60@110|Maestro del Té@119@55
KS002,Auriculares Inalámbricos XR,Tecnología,2022-07-18,2022-08-27,25000.0,45:200:Super Early Bird;59:280:Early Bird;79:150:Retail
KS010,Monitor Portátil 15.6,Tecnología,2022-11-28,2023-01-09,15000.0,189:110:Full HD;249:85:2K;399:45:4K Touch
CF097,Paletas de Color Curadas,Diseño,2024-09-08,2024-11-05,75000.0,100 Paletas@15@240|500 Paletas@39@150|Plugin Completo@79@65
CF041,Zapatillas Deportivas Eco,Moda,2023-02-21,2023-04-16,50000.0,Early Bird@79@160|Estándar@99@210|Edición Limitada@129@75
